"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\VSCodeCppProject\LeetCodeProject\Sum_Of_Two_Numbers\Sum_of_two_numbers.cpp", "C++", 38, 0, 0, 2, 40
"d:\VSCodeCppProject\LeetCodeProject\isPalindrome\isPalindrome.cpp", "C++", 60, 0, 0, 4, 64
"d:\VSCodeCppProject\LeetCodeProject\reverseInt\REDEME.md", "Markdown", 0, 48, 0, 29, 77
"d:\VSCodeCppProject\LeetCodeProject\reverseInt\reverseInt.cpp", "C++", 29, 0, 0, 4, 33
"d:\VSCodeCppProject\Project10\ten.cpp", "C++", 65, 0, 2, 12, 79
"d:\VSCodeCppProject\Project11\eleven.cpp", "C++", 69, 0, 3, 9, 81
"d:\VSCodeCppProject\Project12\twelve.cpp", "C++", 34, 0, 2, 8, 44
"d:\VSCodeCppProject\Project13\thirteen.cpp", "C++", 52, 0, 5, 5, 62
"d:\VSCodeCppProject\Project14\fourteen.cpp", "C++", 46, 0, 3, 8, 57
"d:\VSCodeCppProject\Project15\fifteen.cpp", "C++", 79, 0, 3, 11, 93
"d:\VSCodeCppProject\Project16\sixteen.cpp", "C++", 25, 0, 4, 4, 33
"d:\VSCodeCppProject\Project17\seventeen.cpp", "C++", 107, 0, 2, 22, 131
"d:\VSCodeCppProject\Project18\eighteen.cpp", "C++", 37, 0, 2, 7, 46
"d:\VSCodeCppProject\Project19\nineteen.cpp", "C++", 85, 0, 11, 1, 97
"d:\VSCodeCppProject\Project1\one.cpp", "C++", 34, 0, 0, 6, 40
"d:\VSCodeCppProject\Project20\twenty.cpp", "C++", 54, 0, 3, 10, 67
"d:\VSCodeCppProject\Project2\two.cpp", "C++", 42, 0, 0, 10, 52
"d:\VSCodeCppProject\Project3\three.cpp", "C++", 33, 0, 2, 6, 41
"d:\VSCodeCppProject\Project4\four.cpp", "C++", 58, 0, 2, 11, 71
"d:\VSCodeCppProject\Project5\five.cpp", "C++", 22, 0, 0, 5, 27
"d:\VSCodeCppProject\Project6\six.cpp", "C++", 47, 0, 9, 7, 63
"d:\VSCodeCppProject\Project7\seven.cpp", "C++", 17, 0, 1, 1, 19
"d:\VSCodeCppProject\Project8\eight.cpp", "C++", 54, 0, 3, 8, 65
"d:\VSCodeCppProject\Project9\nine.cpp", "C++", 18, 0, 0, 1, 19
"d:\VSCodeCppProject\README.md", "Markdown", 0, 173, 0, 2, 175
"d:\VSCodeCppProject\helloworld.cpp", "C++", 24, 0, 0, 3, 27
"Total", "-", 1129, 221, 57, 196, 1603
